
LiF        P[GPa]=     25146.2200  rho[g/cc]=  11.2297  Cs[km/s]=  62.8544  gamma=   0.5852
LiF        P[GPa]=    108360.0600  rho[g/cc]=  11.8677  Cs[km/s]= 121.0791  gamma=   0.5205
LiF        P[GPa]=    426041.8100  rho[g/cc]=  11.6543  Cs[km/s]= 247.5399  gamma=   0.6419
LiF        P[GPa]=   1439703.2600  rho[g/cc]=  10.8872  Cs[km/s]= 470.3890  gamma=   0.6658
LiF        P[GPa]=   4485971.2800  rho[g/cc]=  10.6540  Cs[km/s]= 837.8764  gamma=   0.6670
LiF        P[GPa]=  13952182.8100  rho[g/cc]=  10.5673  Cs[km/s]= 1483.4518  gamma=   0.6675
LiF        P[GPa]=  44086918.0400  rho[g/cc]=  10.5511  Cs[km/s]= 2641.7995  gamma=   0.6660

#Material= SiO2 Cs(P)=exp*(b)*P^a a= 0.45960706657948586  b= -0.4441335762499053  rho0[g/cc]= 2.65
SiO2       P[GPa]=      1427.7900  rho[g/cc]=   7.6451  Cs[km/s]=  20.7431  gamma=   0.6771
SiO2       P[GPa]=      2100.9500  rho[g/cc]=   8.2114  Cs[km/s]=  23.5346  gamma=   0.6267
SiO2       P[GPa]=      3408.2500  rho[g/cc]=   8.9642  Cs[km/s]=  27.7570  gamma=   0.5835
SiO2       P[GPa]=      5525.2400  rho[g/cc]=   9.7255  Cs[km/s]=  32.8611  gamma=   0.5536
SiO2       P[GPa]=     11603.3300  rho[g/cc]=  10.7560  Cs[km/s]=  44.5969  gamma=   0.5415
SiO2       P[GPa]=     36351.0800  rho[g/cc]=  11.7606  Cs[km/s]=  72.1187  gamma=   0.5254
SiO2       P[GPa]=     66822.4400  rho[g/cc]=  12.2629  Cs[km/s]=  93.9822  gamma=   0.5059
SiO2       P[GPa]=    112183.6000  rho[g/cc]=  12.5157  Cs[km/s]= 121.8007  gamma=   0.5229
SiO2       P[GPa]=    206015.7900  rho[g/cc]=  12.5487  Cs[km/s]= 164.1434  gamma=   0.5393
SiO2       P[GPa]=    540377.1700  rho[g/cc]=  12.1887  Cs[km/s]= 269.8272  gamma=   0.6093
